Player,Weekly Wages,Annual_Wages_Y,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,COV_Factor,Tax_Rate,Masa_Salarial_X,Log_Annual_Wages_Y,Annual_Wages_Imputed,PassLive_P90,PassDead_P90,TO_P90,Sh_P90,Fld_P90,Def_P90,SCA_P90,GCA_P90,Attack_Efficiency_Ratio,Foul_Prone_Ratio,Net_Creative_Impact,Wage_Club_Ratio,Viability_Score,Club_Purchasing_Power,Age_Sq,Age_Prime_Flag,Perf_Age_Interaction,Pos_FW,Pos_GK,Pos_MF,Comp_La Liga,Comp_Ligue 1,Comp_Premier League,Comp_Serie A
Joachim Andersen,90000.0,4680000.0,DEN,DF,Fulham,Premier League,28,1996,28.7,35,1.23,27,1,0,7,0,0,2,0.07,0.9966652656139827,0.494606050895107,77519000.0,15.358808667893829,4679999.999999997,0.9407665505226481,0.03484320557491289,0.0,0.24390243902439024,0.0,0.0,1.2195121951219512,0.06968641114982578,0.05714285714285714,0.0,0.06968641114982578,0.0603722958242495,0.5070849426999461,77260494.72513032,784,1,1.951219512195122,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Elliot Anderson,40000.0,2080000.0,ENG,MF,Nott'ham Forest,Premier League,21,2002,30.3,87,2.87,43,20,7,8,4,5,10,0.33,0.9966652656139827,0.494606050895107,93457000.0,14.547878451677501,2080000.0000000016,1.4191419141914192,0.6600660066006601,0.23102310231023102,0.264026402640264,0.132013201320132,0.16501650165016502,2.871287128712871,0.33003300330033003,0.11494252873563218,0.7999999999999999,0.09900990099009901,0.022256224787870375,0.5070849426999461,93145345.72848599,441,0,6.930693069306931,0.0,0.0,1.0,0.0,0.0,1.0,0.0
André,60000.0,3120000.0,BRA,MF,Wolves,Premier League,23,2001,27.5,49,1.78,41,3,1,0,0,4,3,0.11,0.9966652656139827,0.494606050895107,72358000.0,14.953343559785665,3120000.0000000005,1.490909090909091,0.10909090909090909,0.03636363636363636,0.0,0.0,0.14545454545454545,1.7818181818181817,0.10909090909090909,0.061224489795918366,0.0,0.07272727272727272,0.04311893639956882,0.5070849426999461,72116705.28929657,529,0,2.509090909090909,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Michail Antonio,45396.01861908456,2360592.7075252132,JAM,FW,West Ham,Premier League,34,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0.9966652656139827,0.494606050895107,86143200.0,15.183440383660656,3927212.2604809995,1.5053763440860215,0.0,0.1075268817204301,0.5376344086021505,0.1075268817204301,0.1075268817204301,2.365591397849462,0.4301075268817204,0.18181818181818182,1.0,0.32258064516129026,0.04558934727849673,0.5070849426999461,85855935.30883844,1156,0,14.623655913978492,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Antony,45396.01861908456,2360592.7075252132,BRA,DF,Manchester Utd,Premier League,24,2000,1.6,8,5.11,6,0,1,0,1,0,0,0.0,0.9966652656139827,0.494606050895107,159341000.0,15.044413257404301,3417477.478147934,3.75,0.0,0.625,0.0,0.625,0.0,5.0,0.0,0.0,0.625,-0.625,0.021447571423223993,0.5070849426999461,158809640.08819762,576,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Julian Araujo,25000.0,1300000.0,MEX,DF,Bournemouth,Premier League,22,2001,5.5,5,0.91,5,0,0,0,0,0,0,0.0,0.9966652656139827,0.494606050895107,62764000.0,14.077874822431765,1299999.9999999998,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.020712510356255175,0.5070849426999461,62554698.73099601,484,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alphonse Areola,45396.01861908456,2360592.7075252132,FRA,GK,West Ham,Premier League,31,1993,25.1,3,0.12,2,1,0,0,0,0,0,0.0,0.9966652656139827,0.494606050895107,86143200.0,14.79932191544645,2674630.814312621,0.0796812749003984,0.0398406374501992,0.0,0.0,0.0,0.0,0.1195219123505976,0.0,0.0,0.0,0.0,0.031048658678951107,0.5070849426999461,85855935.30883844,961,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Harrison Armstrong,45396.01861908456,2360592.7075252132,ENG,MF,Everton,Premier League,17,2007,0.5,1,1.87,1,0,0,0,0,0,0,0.0,0.9966652656139827,0.494606050895107,75379200.0,13.886452277152884,1073518.6585066766,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.014241576701618968,0.5070849426999461,75127830.38976952,289,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Kepa Arrizabalaga,60000.0,3120000.0,ESP,GK,Bournemouth,Premier League,29,1994,31.0,4,0.13,2,2,0,0,0,0,0,0.0,0.9966652656139827,0.494606050895107,62764000.0,14.953343559785665,3120000.0000000005,0.06451612903225806,0.06451612903225806,0.0,0.0,0.0,0.0,0.12903225806451613,0.0,0.0,0.0,0.0,0.049710024855012434,0.5070849426999461,62554698.73099601,841,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Marco Asensio,45396.01861908456,2360592.7075252132,ESP,MF,Aston Villa,Premier League,28,1996,8.3,35,4.24,22,7,1,1,3,1,3,0.36,0.9966652656139827,0.494606050895107,125897200.0,15.416070545621789,4955806.83816628,2.650602409638554,0.8433734939759036,0.12048192771084336,0.12048192771084336,0.36144578313253006,0.12048192771084336,4.216867469879518,0.36144578313253006,0.0857142857142857,3.0,0.2409638554216867,0.03936391625998259,0.5070849426999461,125477366.27805671,784,1,10.120481927710841,0.0,0.0,1.0,0.0,0.0,1.0,0.0
